zs	delta	ys	ds1hg	os2hg	zs	alphax	gamma	hu36energy	xs	thetah	ds2hg	ss1hg	current	mon2	dioderefl	mon4	gainfemtodioderefl	integration_time	sensors_rel_timestamps	sensorsTimestamps	i15-c-cx1/ex/v2_grp_zs.pos/pos	
-66.8911164575	0.00049092	1.6002200075	2.0	1.9985	-66.8911164575	0.0	0.0002288144959	6.98273741544	0.0	0.372652542373	2.0	2.0	450.434124656	30.2244944458	0.149464813232	0.120807524414	100000.0	0.1	19.386388	1512571136.23	-66.891309	
-66.870814935	0.00049092	1.6002200075	2.0	1.9985	-66.870814935	0.0	0.0003050859946	6.98273741544	0.0	0.372652542373	2.0	2.0	450.414239615	30.2265780029	0.13893147583	0.120932390747	100000.0	0.1	20.13941	1512571136.98	-66.871309	
-66.8511134575	0.00049092	1.6002200075	2.0	1.9985	-66.8511134575	0.0	0.0004576289919	6.98273741544	0.0	0.372652542373	2.0	2.0	450.394967571	30.2255606689	0.129238824463	0.120949743652	100000.0	0.1	21.00981	1512571137.85	-66.851309	
-66.8309119425	0.00049092	1.6002200075	2.0	1.9985	-66.8309119425	0.0	0.0009915294824	6.98265454978	0.0	0.372652542373	2.0	2.0	450.394967571	30.2297437744	0.124180181885	0.12098638916	100000.0	0.1	21.64608	1512571138.49	-66.831309	
-66.81101045	0.00049092	1.6002200075	2.0	1.9985	-66.81101045	0.0	0.0001525429973	6.98269598254	0.0	0.372652542373	2.0	2.0	450.385054667	30.2316740112	0.114873760986	0.12103632019	100000.0	0.1	22.446565	1512571139.29	-66.811309	
-66.79100895	0.00049092	1.6002200075	2.0	1.9985	-66.79100895	0.0	0.0001525429973	6.98269598254	0.0	0.372652542373	2.0	2.0	450.385054667	30.2287532349	0.0973663269043	0.120977663574	100000.0	0.1	23.181417	1512571140.02	-66.791309	
-66.770807435	0.00049092	1.6002200075	2.0	1.9985	-66.770807435	0.0	0.0001525429973	6.98269598254	0.0	0.372652542373	2.0	2.0	450.374833215	30.2215343018	0.0865444519043	0.120853569946	100000.0	0.1	23.977404	1512571140.82	-66.771309	
-66.7511059575	0.00049092	1.6002200075	2.0	1.9985	-66.7511059575	0.0	0.0001525429973	6.98269598254	0.0	0.372652542373	2.0	2.0	450.374833215	30.2277846069	0.0749345153809	0.120914840088	100000.0	0.1	24.716526	1512571141.56	-66.751309	
-66.7309044425	0.00049092	1.6002200075	2.0	1.9985	-66.7309044425	0.0	-0.0003813574932	6.98269598254	0.0	0.372652542373	2.0	2.0	450.356224552	30.225611145	0.0630137695312	0.120969502563	100000.0	0.1	25.462989	1512571142.3	-66.731309	
-66.7109029425	0.00049092	1.6002200075	2.0	1.9985	-66.7109029425	0.0	0.0001525429973	6.98273741544	0.0	0.372652542373	2.0	2.0	450.356224552	30.2276291504	0.0546541503906	0.121000924072	100000.0	0.1	26.265075	1512571143.1	-66.711309	
-66.69100145	0.00049092	1.6002200075	2.0	1.9985	-66.69100145	0.0	0.0003050859946	6.98273741544	0.0	0.372652542373	2.0	2.0	450.346264057	30.2296012573	0.0480667114258	0.121032703857	100000.0	0.1	26.998824	1512571143.84	-66.691309	
-66.670799935	0.00049092	1.6002200075	2.0	1.9985	-66.670799935	0.0	0.0004576289919	6.98273741544	0.0	0.372652542373	2.0	2.0	450.337151904	30.2261905518	0.0429155517578	0.120934564209	100000.0	0.1	27.978927	1512571144.82	-66.671309	
-66.65099845	0.00049092	1.6002200075	2.0	1.9985	-66.65099845	0.0	0.0003813574932	6.98269598254	0.0	0.372652542373	2.0	2.0	450.337151904	30.2281946411	0.0344488586426	0.121038311768	100000.0	0.1	28.829167	1512571145.67	-66.651309	
-66.6308969425	0.00049092	1.6002200075	2.0	1.9985	-66.6308969425	0.0	0.0001525429973	6.98273741544	0.0	0.372652542373	2.0	2.0	450.317528006	30.2243063354	0.0186821350098	0.120960162354	100000.0	0.1	29.568169	1512571146.41	-66.631309	
-66.6108954425	0.00049092	1.6002200075	2.0	1.9985	-66.6108954425	0.0	0.0001525429973	6.98273741544	0.0	0.372652542373	2.0	2.0	450.306737889	30.2235159302	0.00877781982422	0.120922718506	100000.0	0.1	30.305988	1512571147.15	-66.611309	
