gamma	delta	ys	ds1hg	os2hg	zs	alphax	gamma	hu36energy	xs	thetah	ds2hg	ss1hg	current	mon2	dioderefl	mon4	gainfemtodioderefl	integration_time	sensors_rel_timestamps	sensorsTimestamps	i15-c-cx1/ex/v2_grp_gamma.rot/rot	
-0.0595680404417	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.0595680404417	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	449.93359372	30.1208056641	0.000332495117188	2.0	100000.0	0.1	42.280761	1512551082.98	-0.0597711855041	
-0.0495764741192	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.0495764741192	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	449.914676975	30.1162990723	0.00184103393555	2.0	100000.0	0.1	44.324213	1512551085.02	-0.0497711855041	
-0.0395086362981	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.0395086362981	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	449.903794285	30.1226902466	0.00568470458984	2.0	100000.0	0.1	46.38268	1512551087.08	-0.0397711855041	
-0.0295170699756	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.0295170699756	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	449.875844084	30.120572998	0.0196873291016	2.0	100000.0	0.1	48.379427	1512551089.08	-0.0297711855041	
-0.0194492321545	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.0194492321545	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	449.856255297	30.1203581543	0.385751696777	2.0	100000.0	0.1	50.460063	1512551091.16	-0.0197711855041	
-0.0095339373306	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.0095339373306	6.98265454978	1.5262144575	-0.917025423729	2.0	2.0	449.835894443	30.1189348755	1.14777935181	2.0	100000.0	0.1	52.472496	1512551093.17	-0.0097711855041	
0.0004576289919	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.0004576289919	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	449.835894443	30.119616272	1.54757156982	2.0	100000.0	0.1	54.524249	1512551095.22	0.0002288144959	
0.0104491953144	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.0104491953144	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	449.796081986	30.1179271851	1.10450897217	2.0	100000.0	0.1	56.535988	1512551097.24	0.0102288144959	
0.0204407616369	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.0204407616369	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	449.796081986	30.2430286255	0.347802844238	2.0	100000.0	0.1	58.582541	1512551099.28	0.0202288144959	
0.0304323279594	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.0304323279594	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.694020722	30.2396608276	0.0160300537109	2.0	100000.0	0.1	60.628221	1512551101.33	0.0302288144959	
