#m4pitch(deg)	#theta(rad)	#qz(nm-1)	#pos_y(pix)	#bckg_R_up	#bckg_R_down	#bckg_R_left	#bckg_R_right	#bckg_R	#err_R	#R
-6.0941810e-01	2.0050974e-02	1.6254909e+00	2.1100000e+02	4.5693997e-07	5.8867574e-07	2.5464247e-08	2.4683045e-08	5.2280786e-07	4.2135281e-08	1.5143879e-05
-6.4553368e-01	2.1311646e-02	1.7276759e+00	2.1200000e+02	4.9906944e-07	3.4756904e-07	2.4891181e-08	2.4382101e-08	4.2331924e-07	5.4072510e-08	1.1495019e-05
-6.8212074e-01	2.2588775e-02	1.8311921e+00	2.1100000e+02	2.9441227e-07	4.2186816e-07	2.4385724e-08	2.3387407e-08	3.5814022e-07	6.6104930e-08	8.7424161e-06
-7.1825366e-01	2.3850052e-02	1.9334205e+00	2.1200000e+02	3.2131198e-07	2.6974727e-07	2.2853733e-08	2.3230271e-08	2.9552963e-07	7.6800049e-08	6.7744114e-06
-7.5470725e-01	2.5122522e-02	2.0365530e+00	2.1200000e+02	2.6791133e-07	2.3145510e-07	2.2710160e-08	2.0996186e-08	2.4968322e-07	8.7269574e-08	5.2400224e-06
-7.9123191e-01	2.6397474e-02	2.1398833e+00	2.1200000e+02	2.4369763e-07	1.8825580e-07	2.2231488e-08	2.1574400e-08	2.1597672e-07	9.8729714e-08	4.1124283e-06
-8.2765951e-01	2.7669036e-02	2.2429355e+00	2.1200000e+02	2.1133323e-07	1.5685809e-07	2.1217520e-08	2.0417653e-08	1.8409566e-07	1.0956810e-07	3.2352928e-06
-8.6376642e-01	2.8929405e-02	2.3450769e+00	2.1200000e+02	1.6000561e-07	1.5054715e-07	2.1887846e-08	1.8553133e-08	1.5527638e-07	1.1827393e-07	2.5808863e-06
-9.0029628e-01	3.0204538e-02	2.4484110e+00	2.1200000e+02	1.5066681e-07	1.2314434e-07	2.3364997e-08	1.7877133e-08	1.3690558e-07	1.2561623e-07	2.0771981e-06
-9.0031188e-01	3.0205083e-02	2.4484552e+00	2.1200000e+02	1.4518366e-07	1.2745290e-07	2.1068319e-08	1.9983613e-08	1.3631828e-07	1.2603815e-07	2.0882876e-06
-9.5605485e-01	3.2150879e-02	2.6061307e+00	2.1200000e+02	1.0910430e-07	1.0335615e-07	2.2108268e-08	2.2329351e-08	1.0623023e-07	1.7615826e-07	1.5107685e-06
-1.0117233e+00	3.4094074e-02	2.7635856e+00	2.1200000e+02	9.5994191e-08	8.7391582e-08	2.2530642e-08	2.1301698e-08	9.1692887e-08	1.7128008e-07	1.1069373e-06
-1.0672132e+00	3.6031037e-02	2.9205252e+00	2.1200000e+02	7.2680176e-08	8.3269341e-08	1.9573911e-08	1.7327724e-08	7.7974759e-08	1.6388402e-07	8.3317474e-07
-1.1227845e+00	3.7970843e-02	3.0776841e+00	2.1200000e+02	6.3889841e-08	7.4609613e-08	2.2725917e-08	1.8438008e-08	6.9249727e-08	2.3507499e-07	6.0223679e-07
-1.1784790e+00	3.9914946e-02	3.2351795e+00	2.1200000e+02	5.8741515e-08	4.4056136e-08	1.8881201e-08	1.0489556e-08	5.1398825e-08	4.2824324e-07	3.9126045e-07
-1.2339446e+00	4.1851061e-02	3.3920157e+00	2.1200000e+02	5.0614463e-08	5.4832335e-08	1.7925956e-08	3.1634039e-08	5.2723399e-08	2.9546761e-07	3.5430124e-07
-1.2895697e+00	4.3792744e-02	3.5492901e+00	2.1200000e+02	6.4399087e-08	3.5588969e-08	2.0336554e-08	2.2031267e-08	4.9994028e-08	3.4051189e-07	2.7200141e-07
-1.3451879e+00	4.5734184e-02	3.7065315e+00	2.0900000e+02	5.4224725e-08	2.7112363e-08	0.0000000e+00	0.0000000e+00	4.0668544e-08	1.0397783e-06	1.2200563e-07
-1.4006691e+00	4.7670844e-02	3.8633718e+00	2.0900000e+02	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	4.8694069e-06	6.5659069e-07
